idevaluacion;clip;nivel;version;forma;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;p45;p46;p47;p48;p49;p50;p51;p52;p53;p54;p55;p56;p57;p58;p59;p60;p61;p62;p63;p64;p65;p66;p67;p68;p69;p70;p71;p72;p73;p74;p75;p76;p77;p78;p79;p80;p81;p82;p83;p84;p85;p86;p87;p88
1;163;3;1;2;D;B;C;A;B;A;A;B;D;C;C;D;D;A;D;D;C;A;B;A;A;B;C;D;C;D;B;B;B;D;D;A;C;A;B;A;B;A;C;D;C;D;C;D;D;C;D;A;D;B;D;B;B;C;A;B;C;A;B;D;D;A;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;167;3;1;2;A;A;B;A;A;C;B;B;B;D;D;B;D;B;A;B;D;D;C;A;B;D;C;D;B;D;A;B;C;D;A;D;B;D;D;C;C;D;A;C;A;A;D;B;C;B;B;A;D;C;B;A;C;D;D;B;A;D;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;168;3;1;2;D;A;C;A;A;A;A;C;D;A;C;D;C;A;C;D;A;A;D;A;B;A;D;A;A;C;C;C;A;B;B;A;A;D;A;A;A;A;C;A;A;A;D;A;C;B;A;B;D;C;A;C;B;B;A;D;C;B;A;D;D;B;D;;;;;;;;;;;;;;;;;;;;;;;;;
1;175;3;1;1;A;A;A;A;A;B;C;B;D;B;C;C;D;A;A;C;D;C;D;A;C;B;B;B;C;C;B;A;B;A;C;D;A;A;A;C;B;A;B;C;B;B;A;A;B;B;B;C;C;B;B;D;B;D;A;B;A;D;B;A;D;A;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;177;3;1;1;A;B;B;A;A;C;A;B;D;D;B;C;C;A;A;B;C;D;B;A;A;C;A;A;B;A;A;A;B;D;A;A;B;B;B;A;B;A;A;C;A;A;A;C;A;B;A;C;A;B;A;B;B;A;A;A;B;B;A;B;D;B;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;186;3;1;1;B;B;D;C;B;D;C;C;B;C;B;A;D;B;B;B;B;C;A;C;C;B;C;B;C;C;B;A;B;B;C;B;A;D;A;B;B;A;A;C;B;A;A;B;B;A;B;A;C;C;B;B;B;C;D;B;B;A;C;C;B;C;C;;;;;;;;;;;;;;;;;;;;;;;;;
1;212;3;1;2;B;A;D;B;A;D;A;D;B;C;D;D;B;A;A;C;A;D;A;C;D;C;D;A;C;C;A;B;B;C;D;A;D;B;A;D;A;B;A;A;B;B;D;D;B;B;B;B;D;B;A;A;B;B;B;A;C;A;A;B;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;213;3;1;1;C;D;A;C;A;B;C;C;A;A;B;A;D;B;C;C;B;A;A;B;C;A;B;B;A;A;D;C;C;A;B;C;A;D;A;D;B;B;A;A;B;B;A;C;D;B;B;A;C;C;D;D;C;D;A;A;B;C;D;B;A;A;D;;;;;;;;;;;;;;;;;;;;;;;;;
1;214;3;1;2;B;D;C;C;A;D;A;B;D;A;D;D;C;A;D;D;D;D;A;D;B;B;B;A;A;A;B;D;A;A;C;D;C;A;C;A;C;A;A;A;B;D;C;D;C;A;C;D;A;A;D;B;C;B;D;A;A;D;A;C;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;223;3;1;2;A;B;C;B;A;C;B;D;C;A;C;C;A;A;B;C;C;B;A;C;A;D;B;A;A;C;C;C;D;C;D;B;B;B;A;A;A;A;A;A;D;A;C;A;A;A;A;A;B;A;C;A;A;C;C;D;B;A;C;C;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;
1;227;3;1;1;B;A;A;C;C;C;A;C;A;A;B;A;D;B;B;C;D;C;A;D;C;A;C;B;D;B;C;A;B;A;A;B;A;B;A;B;C;A;B;A;D;C;A;A;B;A;C;C;C;B;C;D;B;D;A;C;D;C;A;C;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;
1;237;3;1;1;C;C;B;D;B;C;C;A;C;D;C;D;C;A;C;C;D;B;B;A;D;C;D;C;C;D;C;B;B;D;D;C;D;D;C;C;B;B;B;D;B;C;A;B;B;B;C;A;A;B;C;C;D;D;C;C;D;C;B;A;D;D;B;;;;;;;;;;;;;;;;;;;;;;;;;
1;241;3;1;1;A;C;A;D;D;D;D;C;D;A;B;D;C;A;B;B;D;B;C;D;A;D;B;A;B;A;C;B;B;B;D;B;B;B;D;C;B;C;B;B;C;D;A;C;A;C;A;B;C;C;C;D;A;D;C;C;C;A;A;B;B;A;B;;;;;;;;;;;;;;;;;;;;;;;;;
